Parameter_Value,NPV,NPV_Change,NPV_Change_Pct
0.8,4443626.466674422,-3508651.3058440136,-44.121337385487806
0.85,5237765.347215369,-2714512.425303066,-34.13503027628017
0.9,6031904.227756316,-1920373.5447621197,-24.148723167072543
0.95,6826043.108297262,-1126234.6642211732,-14.162416057864913
1.0,7620181.988838209,-332095.78368022665,-4.176108948657286
1.05,8414320.869379155,462043.09686071984,5.8101981605503425
1.1,9208459.749920104,1256181.9774016682,15.796505269757994
1.15,10002598.630461045,2050320.8579426091,25.782812378965552
1.2,10796737.511001995,2844459.7384835593,35.769119488173224
