p,facilities_opened_ids,facilities_opened,total_fixed_cost,total_pickup_dropoff_fee,total_handling_cost,total_transport_cost,total_cost,total_weighted_distance,avg_distance,avg_utilization,total_capacity_opened,solve_time,status
2,"FC04,FC05","FC04 (Central Valley, Fresno), FC05 (Reno, NV (Out-of-State), Reno)",1540000.0,250.0,9848.999999999996,1250.7078115840002,1551349.707811584,7251320.8,257.6873063255153,62.53333333333333,45000,0.011,Optimal
3,"FC03,FC04,FC05","FC03 (San Diego, San Diego), FC04 (Central Valley, Fresno), FC05 (Reno, NV (Out-of-State), Reno)",2460000.0,375.0,9848.999999999996,688.555131264,2470912.555131264,3992086.8,141.8652025586354,43.29230769230769,65000,0.006,Optimal
4,"FC02,FC03,FC04,FC05","FC02 (Los Angeles Metro, Ontario), FC03 (San Diego, San Diego), FC04 (Central Valley, Fresno), FC05 (Reno, NV (Out-of-State), Reno)",3440000.0,500.0,9848.999999999996,497.1391626432,3450846.1391626433,2882300.34,102.42716204690831,31.266666666666666,90000,0.008001,Optimal
5,"FC01,FC02,FC03,FC04,FC05","FC01 (San Francisco Bay Area, Fremont), FC02 (Los Angeles Metro, Ontario), FC03 (San Diego, San Diego), FC04 (Central Valley, Fresno), FC05 (Reno, NV (Out-of-State), Reno)",4490000.0,625.0,9848.999999999996,205.7313429248001,4500679.731342925,1192783.76,42.387482587064675,24.469565217391303,115000,0.004001,Optimal
