Parameter_Value,NPV,NPV_Change,NPV_Change_Pct
0.8,8386132.402061349,433854.6295429133,5.455727804708138
0.85,8194644.798755564,242367.0262371283,3.047768616366782
0.9,8003157.195449779,50879.42293134332,0.6398094280254263
0.95,7811669.592143994,-140608.18037444167,-1.7681497603159297
1.0,7620181.988838209,-332095.78368022665,-4.176108948657286
1.05,7428694.385532424,-523583.38698601164,-6.584068136998641
1.1,7237206.782226637,-715070.9902917985,-8.992027325340022
1.15,7045719.178920854,-906558.5935975816,-11.399986513681354
1.2,6854231.575615068,-1098046.1969033675,-13.807945702022723
