Name,FacilityType,Weight,Capacity,DemandCount,DemandWeight,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,DistanceToNetworkInMeters,Total_Miles,TotalWeighted_Miles
San Francisco Bay Area,0,1.000000000000000,25000.000000000000000,0,0.000000000000000,1,13712045,0.262377677560793,2,0,0,-121.988583776496966,37.548487373107363,2.007157190474681,0.000000000000000,0.000000000000000
Los Angeles Metro,3,1.000000000000000,25000.000000000000000,54,28140.000000000000000,1,11566887,0.733619860259967,1,0,0,-117.650899999999979,34.063347300000032,5.265170028415812,10241.973842322313430,5142340.581168658100069
San Diego,0,1.000000000000000,20000.000000000000000,0,0.000000000000000,1,9958723,0.972857649959477,2,0,0,-117.122346822958420,32.831156815147359,15.112817406138735,0.000000000000000,0.000000000000000
Central Valley,0,1.000000000000000,20000.000000000000000,0,0.000000000000000,1,14455202,0.914044884938108,2,0,0,-119.416095927475268,36.782506337517681,495.104582641518107,0.000000000000000,0.000000000000000
"Reno, NV (Out-of-State)",0,1.000000000000000,25000.000000000000000,0,0.000000000000000,1,14785496,0.663443367912920,1,0,0,-119.813753883148962,39.529313851344781,32.099322764650978,0.000000000000000,0.000000000000000
